"","Address","Title","元.月","坪數","現況","押金","最短租期","樓層","型態","開伙","養寵物","可遷入日","車位","管理費","身份要求","社區","格局","法定用途","車位種類","車位類型","朝向","性別要求","隔間材料","權狀坪數","格局.1"
"303","台北市萬華區興寧街54號","萬華火車站.捷運龍山寺*整層住家鬧中取靜","22000","21坪","整層住家","二個月","一年","4F/4F","公寓","可以","不可以","隨時","無","--","上班族、家庭",NA,"2房2廳1衛1陽台",NA,NA,NA,NA,NA,NA,NA,NA
"304","台北市大安區新生南路三段76巷","台灣大學旁男單人房出租","7500","6坪","雅房","一個月","一年","頂樓加蓋/5F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族",NA,"有陽臺",NA,NA,NA,NA,"男生","水泥磚牆",NA,NA
"305","台北市中正區汀州路二段93號","大降價~近捷運~百萬級裝璜~大陽台~搶租","35000","19坪","獨立套房","二個月","一年","2F/11F","電梯大樓","可以","不可以","隨時","平面式停車位，費用另計","2700元/月","學生、上班族、家庭","優質管理大樓","有陽臺","住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"306","台北市北投區石牌路一段166巷43弄22號","屋齡超新石牌捷運兩房車位","35000","20坪","整層住家","二個月","一年","5F/7F","電梯大樓","可以","可以","隨時","機械式停車位，已含租金內","3000元/月","學生、上班族、家庭","石牌名人居","2房2廳1衛3陽台","住家用",NA,NA,"坐東北朝西南",NA,NA,"34.63坪",NA
"307","台北市文山區指南路三段26巷","全新整修套房出租(政大實小公園旁)近政大","6800","5坪","分租套房","二個月","一年","6F/6F","公寓","可以","可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"308","台北市北投區立農街一段2巷","近捷運、設備全、全新裝潢！","6800","5坪","雅房","二個月","一年","1F/5F","公寓","不可以","不可以","隨時","無",NA,NA,NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"309","台北市大安區基隆路三段155巷188號","芳蘭溫馨會館、近台科大","11000","8坪","分租套房","二個月","一年","1F/3F","透天厝","不可以","不可以","隨時","平面式停車位，費用另計",NA,NA,NA,"開放式格局",NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"310","台北市萬華區寶興街","近西園路二段乾淨明亮套房","9000","8坪","分租套房","二個月","半年","2F/5F","公寓","不可以","不可以","隨時","無",NA,"上班族、家庭",NA,NA,NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"311","台北市內湖區東湖路7巷27號","9/5後雅房可短租!捷運旁面公園商圈","8700","5坪","雅房","二個月","1月","2F/5F","透天厝","可以","不可以","2017-09-05","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"312","台北市中山區撫順街","房東自租-設計師打造獨立溫馨套房","17500","13坪","獨立套房","二個月","一年","5F/9F","電梯大樓","可以","不可以","隨時","無","909元/月","學生、上班族、家庭","中山春大樓",NA,NA,NA,NA,"坐北朝南","男女生皆可",NA,NA,NA
"313","台北市士林區福德路","優質景觀套房小貴馥","23000","10.3坪","獨立套房","二個月","一年","7F/8F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭","小貴馥","樓中樓、有陽臺",NA,NA,NA,"坐東南朝西北","男女生皆可",NA,NA,NA
"314","台北市內湖區內湖路一段285巷","近捷運西湖站德明旁；水電瓦斯網路【全包】","9000","5坪","分租套房","二個月","半年","5F/5F","公寓","可以","可以","隨時","無",NA,"學生、上班族、家庭",NA,"有陽臺","集合住宅",NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"315","台北市內湖區內湖路一段285巷","近德明科大/西湖捷運站生活機能佳","5000","4坪","雅房","二個月","一年","5F/5F","公寓","不可以","可以","隨時","無",NA,"學生、上班族",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"316","台北市士林區華齡街35巷","精美雙人套房","7500","8坪","分租套房","二個月","一年","5F/5F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,"住家用",NA,NA,NA,"女生","水泥磚牆",NA,NA
"317","台北市中山區南京東路三段128號","【新安東京海上產險大樓｜停車位出租】","6500","12坪","車位","一個月","一年",NA,NA,NA,NA,NA,NA,NA,NA,"新安產險大樓",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"318","台北市南港區東明街26-28號","【力麒村上社區｜平面坡道停車位】","2625","12坪","車位","一個月","半年",NA,NA,NA,NA,NA,NA,NA,NA,"力麒村上",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"319","台北市中山區吉林路2號","長安國小對面【蕭邦停車場｜停車位出租】","4500","10坪","車位","一個月","三個月",NA,NA,NA,NA,NA,NA,NA,NA,"力麒蕭邦",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"320","台北市中正區羅斯福路四段","**公館站生活交通便利景觀亮麗屋**","37000","17.32坪","其他","二個月","一年","14F/15F","住宅大樓","可以","不可以","隨時","無","1386元/月","學生、上班族、家庭","戀戀台大","2房2廳2衛0陽台","依使用執照",NA,NA,"坐東北朝西南",NA,NA,NA,NA
"321","台北市北投區泉源路","新北投捷運站電梯華廈獨立套房1房1廳1衛","11000","12坪","獨立套房","二個月","半年","B1/7F","電梯大樓","可以","不可以","隨時","無","650元/月","學生、上班族、家庭","玉川溫泉大樓",NA,NA,NA,NA,"坐南朝北","男女生皆可",NA,NA,NA
"322","台北市士林區中山北路七段63巷","美國學校景觀大戶","155000","86坪","整層住家","二個月","兩年","11F/12F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","13800元/月","上班族、家庭","依社區名稱","4房2廳3衛2陽台","住家用",NA,NA,"坐南朝北",NA,NA,"86坪",NA
"323","台北市中正區和平西路一段","★古亭捷運豪邸★優質4房~採光好~公設全","97999","49.42坪","整層住家","二個月","一年","6F/28F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","8560元/月",NA,"依現場社區名稱","4房2廳3衛1陽台","住家用",NA,NA,NA,NA,NA,"73坪",NA
"324","台北市中正區和平西路一段","★古亭捷運豪邸★優質3房~採光好~公設全","111111","41.3坪","整層住家","二個月","一年","21F/28F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","6405元/月",NA,"依現場社區名稱","3房2廳2衛1陽台","住家用",NA,NA,NA,NA,NA,"58.23坪",NA
"325","台北市內湖區內湖路一段","★MRT港墘★優質4房~視野佳~採光好","119999","72.84坪","整層住家","二個月","一年","9F/14F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","8329元/月",NA,"依現場社區名稱","4房2廳3衛2陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"326","台北市內湖區內湖路一段","e內湖便利舒適套房","10000","4.5坪","分租套房","二個月","一年","3F/5F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"327","台北市內湖區內湖路一段","港墘MRT．內科園區新大樓住宅．漂亮3房","52000","39.8坪","整層住家","二個月","一年","6F/18F","電梯大樓","可以","不可以","隨時","無","4500元/月","學生、上班族、家庭","文心移動光城","3房2廳2衛1陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"328","台北市北投區石牌路一段71巷","~石牌溫馨套房E~**環境機能佳**","8700","7坪","分租套房","二個月","一年","2F/5F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族",NA,NA,NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"329","台北市士林區後港街","★近士林夜市★美裝潢4房~機能佳","75999","76.42坪","整層住家","二個月","一年","6F/14F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","6114元/月",NA,"依現場社區名稱","4房2廳3衛2陽台","見使照",NA,NA,NA,NA,NA,NA,NA
"330","台北市士林區後港街","小資女雅房之走到劍潭捷運站不用5分鐘!!","6800","7坪","雅房","二個月","一年","2F/4F","公寓","不可以","不可以","隨時","無",NA,NA,NA,NA,NA,NA,NA,NA,"女生",NA,NA,NA
"331","台北市士林區中山北路七段","★近美國學校★優質別墅~新裝潢~獨立泳池","129999","65.07坪","整層住家","二個月","一年","整棟/2F","別墅","可以","不可以","隨時","平面式停車位，已含租金內","無",NA,"依現場社區名稱","4房3廳3衛3陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"332","台北市士林區中山北路七段","喬治綠地大三房(車位可談)","49800","45坪","整層住家","面議","一年","6F/7F","電梯大樓","可以","可以","隨時","平面式停車位，費用另計","--","學生、上班族、家庭","lovely","3房2廳2衛2陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"333","台北市士林區中山北路七段","獨層獨戶環境優三房附車位","58000","38坪","整層住家","二個月","一年","2F/7F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","5000元/月","上班族、家庭","中銀山莊","3房2廳2衛2陽台","住家用",NA,NA,"坐南朝北",NA,NA,"48坪",NA
"334","台北市信義區信義路五段","★MRT象山★優質2房~美裝潢~環境優質","124999","86.02坪","整層住家","二個月","一年","5F/7F","電梯大樓","可以","不可以","隨時","平面式停車位，費用另計","17206元/月",NA,"依現場社區名稱","2房2廳2衛2陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"335","台北市信義區信義路五段","新川普-粉稀有的夾層川普","30000","16坪","獨立套房","二個月","一年","14F/19F","電梯大樓","可以","不可以","隨時","無","2790元/月",NA,"新川普","樓中樓","住家用",NA,NA,NA,"男女生皆可",NA,"15.5坪",NA
"336","台北市信義區信義路五段","新川普~白淨舒服小套房","27400","14.65坪","整層住家","二個月","一年","2F/19F","電梯大樓","可以","不可以","隨時","無","2637元/月","學生、上班族、家庭","新川普","1房1廳1衛0陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"337","台北市信義區信義路五段","^^101大樓景觀時尚大樓專業物業管理","62000","27坪","整層住家","二個月","一年","8F/19F","電梯大樓","可以","不可以","隨時","無","5000元/月","上班族、家庭","新川普","2房1廳1衛0陽台","住家用",NA,NA,NA,NA,NA,"27坪",NA
"338","台北市信義區信義路五段","川普高樓景觀~面101視野佳","30000","9.54坪","獨立套房","二個月","一年","17F/19F","電梯大樓","可以","可以","隨時","無","--","學生、上班族、家庭","新川普",NA,"住家用",NA,NA,"坐東朝西","男女生皆可",NA,"14.16坪",NA
"339","台北市信義區信義路五段","@車位出租坡道平面","5000","9坪","車位","二個月","一年",NA,NA,NA,NA,NA,NA,NA,NA,"信義香榭",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"340","台北市信義區信義路五段","信義香榭正兩房","48000","27.65坪","整層住家","二個月","一年","5F/19F","電梯大樓","可以","可以","隨時","無","4410元/月","學生、上班族、家庭","信義香榭","2房1廳2衛1陽台","住家用",NA,NA,"坐西北朝東南",NA,NA,"27.65坪",NA
"341","台北市信義區信義路五段","新川普-最特別的小豪宅","28500","14.42坪","獨立套房","二個月","一年","4F/19F","電梯大樓","可以","不可以","隨時","機械式停車位，費用另計","2596元/月","學生、上班族、家庭","新川普",NA,"住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"342","台北市信義區信義路五段","新川普-高檔裝潢NO1","30000","15坪","獨立套房","二個月","一年","4F/19F","電梯大樓","可以","不可以","隨時","機械式停車位，費用另計","2599元/月","學生、上班族、家庭","新川普",NA,"住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"343","台北市信義區信義路五段","信義計劃區捷運旁時尚裝潢美屋","38000","20坪","整層住家","二個月","兩年","19F/19F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭","信義香榭","1房1廳1衛1陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"344","台北市信義區信義路五段","新川普-小坪數中的大豪宅使用空間NO1","30000","15坪","獨立套房","二個月","一年","12F/19F","電梯大樓","可以","不可以","隨時","無","2700元/月","學生、上班族、家庭","新川普",NA,"住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"345","台北市中山區新生北路三段84巷17號","晴光商圈4000元雅房，生活機能佳","4000","3坪","雅房","一個月","一年","頂樓加蓋/5F","公寓","可以","不可以","隨時","無",NA,"學生、上班族",NA,"有陽臺",NA,NA,NA,NA,"女生","其他",NA,NA
"346","台北市士林區德行東路345號","芝山國小，高島屋，附近整層出租","17000","25坪","整層住家","二個月","一年","6F/6F","公寓","可以","不可以","隨時","無","--",NA,NA,"2房1廳1衛2陽台",NA,NA,NA,NA,NA,NA,NA,NA
"347","台北市內湖區新明路300號","新明路/成美橋/近大潤發新裝潢2+1房","26000","26坪","整層住家","二個月","一年","2F/4F","公寓","可以","可以","隨時","無","--","學生、上班族、家庭","週美里公寓","3房1廳1衛1陽台",NA,NA,NA,NA,NA,NA,NA,NA
"348","台北市信義區信義路五段121號","川普高樓正面101美景觀~高檔裝潢","32000","14.46坪","獨立套房","二個月","一年","19F/19F","電梯大樓","可以","不可以","隨時","無","2601元/月","學生、上班族、家庭","新川普",NA,"住家用",NA,NA,"坐東南朝西北","男女生皆可",NA,NA,NA
"349","台北市大安區敦化南路200巷14弄2號","坡平車位大型休旅車可","9000","12坪","車位","一個月","一年",NA,NA,NA,NA,NA,NA,NA,NA,"敦南之翼",NA,NA,"立體塔式","平面式",NA,NA,NA,NA,NA
"350","台北市南港區南港路三段215號","難得好位置，極近松山車站轎車停車位出租。","3500","4.5坪","車位","一個月","一年",NA,NA,NA,NA,NA,NA,NA,NA,"臻愛",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"351","台北市內湖區民權東路六段280巷","上疊挑高樓中樓，使用空間大，雙車位。","36000","44.8坪","整層住家","二個月","一年","4F/5F","公寓","可以","不可以","隨時","平面式停車位，已含租金內","1100元/月","學生、上班族、家庭","御湖園","3房3廳2衛1陽台",NA,NA,NA,"坐東南朝西北",NA,NA,NA,NA
"352","台北市內湖區民權東路六段280巷","葫洲馨<U+945A>美2房","28000","11.8坪","整層住家","面議","一年","7F/9F","電梯大樓","可以","可以","隨時","機械式停車位，已含租金內","1981元/月","上班族、家庭",NA,"2房2廳1衛0陽台","商業用",NA,NA,"坐東北朝西南",NA,NA,"11.8坪",NA
"353","台北市士林區延平北路六段74號","全新裝潢的套房附家俱","12000","7坪","分租套房","二個月","一年","2F/4F","公寓","可以","不可以","隨時","無",NA,NA,NA,NA,NA,NA,NA,NA,"男女生皆可","輕材料",NA,NA
"354","台北市內湖區東湖路113巷21號","東湖路靜巷機能住宅『近捷運，影城』","8500","10坪","分租套房","二個月","半年","5F/5F","公寓","可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,"有陽臺","住家用",NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"355","台北市萬華區開封街二段80號","近西門町樓下超商生活機能方便","11000","12坪","獨立套房","二個月","一年","2F/9F","住宅大樓","不可以","不可以","隨時","無","--",NA,NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"356","台北市士林區文林路","553號2F","8000","5坪","分租套房","二個月","一年","2F/3F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"357","台北市士林區文林路","芝山站旁大套房有廚房大陽台","18000","12坪","分租套房","二個月","一年","3F/4F","公寓","可以","可以","隨時","無",NA,"學生、上班族、家庭",NA,"有陽臺",NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"358","台北市北投區振興街1號","坡道平面地下室停車位_近榮總北護振興醫院","5000","4坪","車位","一個月","三個月",NA,NA,NA,NA,NA,NA,NA,NA,"米蘭小鎮",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"359","台北市文山區景福街3巷","優雅獨力套房G","9000","7坪","獨立套房","二個月","一年","5F/6F","公寓","不可以","不可以","隨時","無","無","學生、上班族",NA,NA,NA,NA,NA,"坐北朝南","男女生皆可",NA,NA,NA
"360","台北市大同區延平北路三段25號","交通方便生活機能佳","8500","8坪","獨立套房","二個月","一年","2F/5F","公寓","可以","不可以","隨時","無","--",NA,NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"361","台北市士林區延平北路六段116巷","邊間採光佳溫馨套房(含水電、網路、電視)","7500","7坪","獨立套房","二個月","一年","5F/5F","公寓","可以","不可以","隨時","無","--",NA,NA,NA,NA,NA,NA,NA,"女生",NA,NA,NA
"362","台北市中山區新生北路一段","南京東路與新生北路口車位出租","3500","3坪","車位","面議","半年",NA,NA,NA,NA,NA,NA,NA,NA,"南京VIP",NA,NA,"立體塔式","機械式",NA,NA,NA,NA,NA
"363","台北市士林區通河東街一段6巷","鄰近士林劍潭捷運站舒適雅房","6800","8坪","雅房","一個月","半年","3F/5F","公寓","不可以","不可以","隨時","無",NA,"學生",NA,NA,NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"364","台北市松山區南京東路五段","全新裝修...全新床墊~妳優先使用","11500","6坪","雅房","二個月","一年","2F/2F","透天厝","不可以","不可以","隨時","無",NA,"學生、上班族",NA,NA,NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"365","台北市松山區南京東路五段","捷運共構精緻小豪宅","28500","17坪","獨立套房","二個月","一年","7F/18F","電梯大樓","可以","可以","隨時","無","2179元/月","學生、上班族、家庭","台北摩根","有陽臺",NA,NA,NA,"坐北朝南","男女生皆可",NA,NA,NA
"366","台北市松山區南京東路五段","南京東路五段金店面","50000","25坪","整層住家","二個月","一年","1F/6F","電梯大樓","可以","不可以","隨時","無","300元/月","學生、上班族、家庭","..","1房1廳1衛0陽台","集合住宅",NA,NA,"坐東朝西",NA,NA,NA,NA
"367","台北市松山區健康路","獨立陽台●全新裝潢●附獨洗●捷運南京三民","14500","7坪","獨立套房","面議","一年","3F/3F","透天厝","不可以","不可以","隨時","無","無","學生、上班族、家庭",NA,"有陽臺",NA,NA,NA,NA,"女生",NA,NA,NA
"368","台北市松山區健康路","松山區電梯大樓套房/套房南京東路四段","8900","6坪","獨立套房","二個月","一年","2F/7F","電梯大樓","不可以","不可以","隨時","無","--","學生、上班族",NA,NA,NA,NA,NA,NA,"女生",NA,NA,NA
"369","台北市松山區健康路","國美新美館4房(含稅金)(需公證)","150000","88.16坪","整層住家","二個月","一年","7F/15F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","13000元/月","上班族、家庭","國美新美館","4房2廳3衛2陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"370","台北市大安區和平東路三段308巷","雅房分租限女性離捷運站5分鐘","6500","8坪","雅房","二個月","一年","頂樓加蓋/4F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,"有陽臺",NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"371","台北市大安區和平東路三段308巷","離捷運站5分鐘雅房分租限女性","6500","8坪","雅房","二個月","一年","頂樓加蓋/4F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"372","台北市信義區信義路六段123號","松山路.信義路口","9500","4坪","獨立套房","二個月","一年","4F/4F","公寓","不可以","不可以","隨時","無","無","學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"373","台北市士林區德行東路","SOGO百貨景觀華廈","42000","50坪","整層住家","二個月","兩年","4F/7F","電梯大樓","可以","不可以","隨時","無","1500元/月","上班族、家庭","sogo百貨美廈","4房2廳2衛2陽台","住家用",NA,NA,"坐東北朝西南",NA,NA,"50坪",NA
"374","台北市士林區德行東路","天母豪宅●高級傢俱●一卡皮箱輕鬆入住","180000","95.2坪","整層住家","二個月","兩年","6F/14F","電梯大樓","可以","可以","隨時","平面式停車位，已含租金內","14393元/月","學生、上班族、家庭","知田","4房2廳3衛2陽台","住家用",NA,NA,"坐北朝南",NA,NA,NA,NA
"375","台北市士林區德行東路","雅房分租公用設備齊全限女學生且生活習慣佳","5800","15坪","雅房","面議","一年","5F/5F","公寓","不可以","不可以","隨時","無",NA,"學生",NA,NA,NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"376","台北市士林區德行東路","天母臻品花園三房(含車位)","45000","43.53坪","整層住家","面議","一年","2F/7F","電梯大樓","可以","可以","隨時","機械式停車位，已含租金內","--","學生、上班族、家庭","lovely","3房2廳2衛2陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"377","台北市內湖區內湖路一段411巷62弄8號","雙線道車位寬闊","4000","4.22坪","車位","面議","一年",NA,NA,NA,NA,NA,NA,NA,NA,"長虹公園館",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"378","台北市大安區仁愛路四段","仁愛林蔭大廈~名宅住家買賣租賃服務","150000","75坪","整層住家","二個月","一年","5F/12F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","6261元/月","家庭",NA,"4房2廳2衛0陽台","集合住宅",NA,NA,NA,NA,NA,NA,NA
"379","台北市大安區仁愛路四段","仁愛樹海景觀豪邸","80000","49.99坪","整層住家","二個月","一年","4F/14F","電梯大樓","可以","可以","隨時","無","--","學生、上班族、家庭","三普","2房2廳2衛1陽台","住家用",NA,NA,"坐南朝北",NA,NA,"56.19坪",NA
"380","台北市內湖區民權東路六段280巷6號","距捷運3分鐘","3000","3.5坪","車位","面議","一年",NA,NA,NA,NA,NA,NA,NA,NA,"力霸濱湖大廈",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"381","台北市內湖區內湖路二段253巷","湖光市場附近","7000","6坪","雅房","面議","半年","3F/5F","公寓","不可以","不可以","隨時","無",NA,"上班族",NA,"有陽臺",NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"382","台北市信義區和平東路三段391巷","~麟光捷運站~距離約800公尺，格局方正","30000","35.5坪","整層住家","二個月","一年","4F/5F","公寓","可以","不可以","隨時","無","--","學生、上班族、家庭",NA,"3房2廳2衛2陽台","住家用",NA,NA,NA,NA,NA,"35.5坪",NA
"383","台北市信義區和平東路三段391巷","六張犁優質套房","8500","5坪","分租套房","二個月","一年","5F/5F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"384","台北市士林區菁山路","陽明山~高檔時尚裝潢~私密庭院挑高一樓~","88000","80.4坪","整層住家","二個月","一年","1F/5F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","--","上班族、家庭","陽明帝景","2房2廳2衛2陽台","住家用",NA,NA,"坐西南朝東北",NA,NA,"80.4坪",NA
"385","台北市士林區天母北路","天母精華區精選華廈","36000","30坪","整層住家","二個月","一年","5F/7F","華廈","可以","可以","隨時","無","--",NA,NA,"2房2廳1衛2陽台",NA,NA,NA,NA,NA,NA,NA,NA
"386","台北市士林區天母北路","近美僑日僑學校,天母北路上,黃金店面","89000","62坪","其他","二個月","一年","1F/7F","店面（店鋪）","可以","可以","隨時","平面式停車位，費用另計","2900元/月","上班族、家庭",NA,"開放式格局",NA,NA,NA,NA,NA,NA,NA,NA
"387","台北市士林區天母北路","天母美僑日僑學校,全新漂亮高級住宅","45000","51.77坪","整層住家","二個月","一年","5F/7F","電梯大樓","可以","可以","隨時","平面式停車位，費用另計","2379元/月","上班族、家庭","天母高級社區","4房2廳2衛3陽台",NA,NA,NA,NA,NA,NA,NA,NA
"388","台北市士林區天母北路","天母磺溪美廈","47000","47.59坪","整層住家","二個月","一年","3F/7F","電梯大樓","可以","不可以","隨時","平面式停車位，費用另計","2380元/月","學生、上班族、家庭","依現場社區名稱","4房2廳2衛3陽台","商業用",NA,NA,NA,NA,NA,NA,NA
"389","台北市松山區敦化北路","台北市東區雙捷運通風101景觀大套房","13000","5坪","獨立套房","二個月","一年","5F/5F","公寓","可以","可以","隨時","無","--","學生、上班族",NA,"有陽臺",NA,NA,NA,"坐北朝南","男女生皆可",NA,NA,NA
"390","台北市中正區三元街212巷7號","近南海學區古亭捷運站電費一度4元","7500","5坪","分租套房","二個月","一年","4F/5F","公寓","不可以","不可以","隨時","無",NA,NA,NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"391","台北市士林區華聲街","士林捷運步行5分鐘,生活便利環境佳","5750","3坪","雅房","二個月","一年","2F/4F","公寓","不可以","不可以","隨時","無",NA,"學生",NA,"有陽臺",NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"392","台北市文山區忠順街二段85巷1弄13號","台北文山區★重新整修★出租挑高整層住家","28000","42坪","整層住家","二個月","一年","3F/5F","公寓","可以","可以","隨時","無","無","學生、上班族、家庭","台北新貴社區-文山區","3房2廳2衛1陽台",NA,NA,NA,"坐南朝北",NA,NA,NA,NA
"393","台北市內湖區港華街","機械車位出租:MORE123全天候管理","3500","2坪","車位","面議","一年",NA,NA,NA,NA,NA,NA,NA,NA,"More123",NA,NA,"室內地下","機械式",NA,NA,NA,NA,NA
"394","台北市內湖區港華街","麗山國中套房分租","10000","5坪","分租套房","二個月","一年","4F/5F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族",NA,"有陽臺","住家用",NA,NA,NA,"女生","水泥磚牆",NA,NA
"395","台北市內湖區新富街","御東方內湖五期豪華三房外商高級主管","100000","67.92坪","整層住家","二個月","一年","13F/16F","電梯大樓","可以","可以","隨時","平面式停車位，費用另計","11790元/月",NA,"御東方","3房2廳3衛2陽台","住家用",NA,NA,"坐南朝北",NA,NA,"94.13坪",NA
"396","台北市內湖區新富街","*內湖五期*行善路*雙主臥全新裝潢附車位","78000","78.14坪","整層住家","二個月","一年","3F/13F","電梯大樓","可以","可以","隨時","無","10760元/月","學生、上班族、家庭","奧斯卡","3房2廳3衛2陽台","住家用",NA,NA,"坐東南朝西北",NA,NA,NA,NA
"397","台北市內湖區新富街","內湖五期寬敞亮麗三房專任委託出租","100000","104.99坪","整層住家","二個月","一年","6F/14F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","11118元/月","學生、上班族、家庭","遠雄米蘭苑","3房2廳4衛2陽台","住家用",NA,NA,"坐北朝南",NA,NA,"79.32坪",NA
"398","台北市大同區寧夏路67號","寧夏夜市/中山雙連站電梯陽台雙人大套房","17500","17坪","獨立套房","二個月","一年","4F/10F","電梯大樓","可以","不可以","隨時","無","1260元/月","學生、上班族、家庭","靜修小築","有陽臺",NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"399","台北市信義區吳興街600巷","信義區一樓三房美寓~生活便利~","32000","36坪","整層住家","二個月","一年","1F/5F","公寓","可以","不可以","隨時","平面式停車位，已含租金內","--","學生、上班族、家庭",NA,"3房2廳2衛0陽台",NA,NA,NA,NA,NA,NA,NA,NA
"400","台北市信義區吳興街600巷","吳興三房住家","18000","22坪","整層住家","二個月","一年","2F/5F","公寓","可以","不可以","隨時","無","--","學生、上班族、家庭","三興社區","3房2廳1衛2陽台","住家用",NA,NA,"坐北朝南",NA,NA,NA,NA
"401","台北市信義區吳興街600巷","裝潢設備九成新；有個人獨立陽台","15000","7坪","獨立套房","二個月","一年","4F/4F","公寓","不可以","不可以","隨時","無","--",NA,NA,"有陽臺",NA,NA,NA,NA,"女生",NA,NA,NA
"402","台北市信義區吳興街156巷67號","三房一廳一衛","17000","25坪","整層住家","二個月","一年","5F/5F","公寓","不可以","不可以","隨時","無","--",NA,NA,"3房1廳1衛1陽台",NA,NA,NA,NA,NA,NA,NA,NA
"403","台北市文山區木新路二段","獨立網路第四台近政大CP值超高分租套房","7200","6坪","分租套房","二個月","一年","頂樓加蓋/5F","公寓","不可以","可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"404","台北市文山區木新路二段","木新路2段近政大套房環境佳新裝潢新隔間","8800","8坪","分租套房","二個月","一年","2F/4F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,"有陽臺","住家用",NA,NA,NA,"男女生皆可","水泥磚牆","41.1坪",NA
